date_time,currency,Today Price,Forecasted Tomorrow Price,Price Score,Today Volume,Forecasted Tomorrow Volume,Volume Score,Today Market Cap,Forecasted Tomorrow Market Cap,Market Cap Score
2022-10-13 23:29:25,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-13 23:30:11,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-13 23:37:38,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-13 23:51:16,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 00:14:17,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 00:30:47,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 00:48:04,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 00:59:51,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 01:17:46,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 01:22:22,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 01:25:51,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 01:31:55,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 01:34:42,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 01:53:38,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 02:01:02,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 02:11:05,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 02:36:42,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 02:39:30,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 02:43:59,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-14 03:23:21,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937328.152985,0%,367301644901.367,367097259031.13086,0%
2022-10-13 22:18:08,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937402.021168,0%,367301644901.367,367097259031.13086,0%
2022-10-13 22:20:57,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937402.021168,0%,367301644901.367,367097259031.13086,0%
2022-10-13 23:24:06,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937402.021168,0%,367301644901.367,367097259031.13086,0%
2022-10-14 00:24:05,BTC_USD,19153.039779986982,19142.48357957122,0%,22339104401.38417,21900937402.021168,0%,367301644901.367,367097259031.13086,0%
2022-10-14 01:24:06,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 02:24:06,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 03:24:09,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 04:24:05,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 05:23:48,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 06:23:54,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 07:24:10,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 08:24:05,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 09:24:01,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 10:24:01,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
2022-10-14 11:24:05,BTC_USD,19383.9432200889,19367.042025837152,0%,37194496437.924,28541984793.86779,0%,371647189087.476,371376030545.9757,0%
