snapped_at,price,market_cap,total_volume
2022-09-15T00:00:00.000Z,20242.2899083879,377311288517.09,36389011503.32
2022-09-16T00:00:00.000Z,19704.0054405263,378693173324.34,30123362272.94
2022-09-17T00:00:00.000Z,19777.0340283315,385513277844.78,24957448100.3
2022-09-18T00:00:00.000Z,20127.2339476275,371970445843.4,31254779143.63
2022-09-19T00:00:00.000Z,19418.5714215096,374373522207.39,40177002623.56
2022-09-20T00:00:00.000Z,19545.5912754153,361876433047.07,36791346508.26
2022-09-21T00:00:00.000Z,18891.2828895318,355314855623.96,46363793974.56
2022-09-22T00:00:00.000Z,18534.6495954773,371923967755.44,41135767926.23
2022-09-23T00:00:00.000Z,19412.3999254216,369718966324.75,38896078052.07
2022-09-24T00:00:00.000Z,19296.990703569,362826506171.96,26149643167.68
2022-09-25T00:00:00.000Z,18936.311515242,360259346858.07,23359966112.45
2022-09-26T00:00:00.000Z,18803.9006328979,368335944295.86,44148798320.6
2022-09-27T00:00:00.000Z,19221.8407127512,366202733264.3,58571439618.96
2022-09-28T00:00:00.000Z,19104.6207895026,372279603227.33,53071298733.51
2022-09-29T00:00:00.000Z,19427.7801905231,375100872175.06,41037843771.3
2022-09-30T00:00:00.000Z,19573.4314212308,372414733487.45,43975248084.73
2022-10-01T00:00:00.000Z,19431.1049459172,370142714486.9,18719537669.88
2022-10-02T00:00:00.000Z,19311.8487082258,365024821953.69,20765955327.49
2022-10-03T00:00:00.000Z,19044.0678498115,376151028151.32,30484729488.71
2022-10-04T00:00:00.000Z,19623.5846894487,389843287588.34,35887278684.83
2022-10-05T00:00:00.000Z,20335.8995793765,386489739242.67,33223790572.36
2022-10-06T00:00:00.000Z,20161.0384382098,382574032285.78,34711412966.17
2022-10-07T00:00:00.000Z,19957.5590804174,374761116006.47,29227315390.11
2022-10-08T00:00:00.000Z,19546.3288377398,372284398575.26,16437423166.71
2022-10-09T00:00:00.000Z,19417.4794111661,372876821416.38,16837262532.25
2022-10-10T00:00:00.000Z,19446.4162251338,367049182259.43,27425022773.59
2022-10-11T00:00:00.000Z,19138.9998774831,365340817941.08,28711532910.3
2022-10-12T00:00:00.000Z,19052.6457860076,367391447229.96,24950173846.05
2022-10-13T00:00:00.000Z,19156.966613327,371731749298.26,44219840003.89
