snapped_at,price,market_cap,total_volume
2021-11-24 00:00:00 UTC,0.5281391422976991,2141559.8066750043,15835.412943597576
2021-11-25 00:00:00 UTC,0.48845187227868225,1982723.456472585,24621.85438152906
2021-11-26 00:00:00 UTC,0.4483112070860098,1822475.6496785188,32974.68381865501
2021-11-27 00:00:00 UTC,0.4906875642527436,1984198.6193569824,189719.83954560995
2021-11-28 00:00:00 UTC,0.4697165447643459,1902532.6973974078,51055.31713891241
2021-11-29 00:00:00 UTC,0.46794276716126304,1901347.3485902406,897.2570206361855
2021-11-30 00:00:00 UTC,0.4577283246122461,1859079.2666622228,12129.438611409932
2021-12-01 00:00:00 UTC,0.3570386439606106,1452602.9253141773,82852.67023898299
2021-12-02 00:00:00 UTC,0.3493055784114966,1416919.6510892585,16912.19781055176
2021-12-03 00:00:00 UTC,0.3520668650155144,1434400.168982272,65431.44318864122
2021-12-04 00:00:00 UTC,0.3317434095461176,1346264.0403839496,52840.5552275476
2021-12-05 00:00:00 UTC,0.3183108692849254,1292187.9322681974,9402.583140056853
2021-12-06 00:00:00 UTC,0.34396859952708153,1404486.2495589931,15006.530327674145
2021-12-07 00:00:00 UTC,0.3135860232331209,1272490.300090087,31376.680845425642
2021-12-08 00:00:00 UTC,0.32108605691107167,1302528.390351681,52756.337839809166
2021-12-09 00:00:00 UTC,0.33835289939525354,1373250.3505117672,46166.925882607065
2021-12-10 00:00:00 UTC,0.302283723648932,1226712.2584249664,22822.814147024466
2021-12-11 00:00:00 UTC,0.2888976139349055,1173738.2891480397,33051.44752005884
2021-12-12 00:00:00 UTC,0.2873633190304079,1172829.7169112556,12909.471098900327
2021-12-13 00:00:00 UTC,0.28419069791408696,1151890.8236119917,4557.2624168280445
2021-12-14 00:00:00 UTC,0.26361218274069786,1066985.063264459,16722.45954187011
2021-12-15 00:00:00 UTC,0.26049711502615513,1057135.992733931,19090.694066540294
2021-12-16 00:00:00 UTC,0.2467146727613044,1000968.9905845508,31530.554541224268
2021-12-17 00:00:00 UTC,0.2446053667427274,992328.7804957639,18714.24192817529
2021-12-18 00:00:00 UTC,0.2788536113809495,1131583.334547291,120620.86662684544
2021-12-19 00:00:00 UTC,0.28350635167749444,1151144.1650361198,13574.577997183893
2021-12-20 00:00:00 UTC,0.2737233074199155,1112629.2640266651,5978.20801688787
2021-12-21 00:00:00 UTC,0.24164453008461217,981358.4180116906,28155.951667225607
2021-12-22 00:00:00 UTC,0.22923494947555156,931472.4425524701,7981.0646320862315
2021-12-23 00:00:00 UTC,0.23651351244554372,960522.5335277603,17564.465504742227
2021-12-24 00:00:00 UTC,0.24245163191570543,983434.7737524621,8173.2164937280695
2021-12-25 00:00:00 UTC,0.255601894024107,1040652.6795816058,27122.051874742097
2021-12-26 00:00:00 UTC,0.25214607902433367,1024980.8561177974,8209.31367110943
2021-12-27 00:00:00 UTC,0.2499871135909175,1015186.5142108663,6241.920409920157
2021-12-28 00:00:00 UTC,0.24758384710741665,1004555.8166607929,3234.878465648875
2021-12-29 00:00:00 UTC,0.21611729601641214,877950.050130784,19856.89605910123
2021-12-30 00:00:00 UTC,0.21696497450609584,879551.3764208228,16763.508022147656
2021-12-31 00:00:00 UTC,0.2010440092648522,815723.0574063926,19368.681582333662
2022-01-01 00:00:00 UTC,0.17074588922992667,693954.0543178712,102608.68435995796
2022-01-02 00:00:00 UTC,0.1637750629306691,660906.3083456552,38007.877353999116
2022-01-03 00:00:00 UTC,0.17983187510809967,729784.4653616132,28427.412507510548
2022-01-04 00:00:00 UTC,0.17026436358462718,691368.3077011122,8587.46695411315
2022-01-05 00:00:00 UTC,0.16681494118984008,669068.136677455,6394.3855594117695
2022-01-06 00:00:00 UTC,0.160788189942216,653272.627922344,5426.549954417611
2022-01-07 00:00:00 UTC,0.14820524755346323,602075.3616994572,19007.6750008023
2022-01-08 00:00:00 UTC,0.13023131953824849,525220.2264799845,12774.581573546517
2022-01-09 00:00:00 UTC,0.13691560241244585,557007.8900319288,9380.265911559896
2022-01-10 00:00:00 UTC,0.12997221009244192,525845.2539500336,7186.553412641391
2022-01-11 00:00:00 UTC,0.12952887700999483,526556.7792985556,514.4886994836995
2022-01-12 00:00:00 UTC,0.12210845268802123,499954.42743108445,14288.15060267716
2022-01-13 00:00:00 UTC,0.15520067230800083,641397.5572052719,17751.328320316734
2022-01-14 00:00:00 UTC,0.13055178906156992,529798.5550394157,5084.578594627875
2022-01-15 00:00:00 UTC,0.1268280643038106,514428.57596223004,3632.006716533507
2022-01-16 00:00:00 UTC,0.13559040723507712,550680.6245193892,14106.020561718447
2022-01-17 00:00:00 UTC,0.14354395594728692,582768.2033409823,79991.43947830382
2022-01-18 00:00:00 UTC,0.16023155427425376,650243.451556102,127550.54562243674
2022-01-19 00:00:00 UTC,0.16875850176814455,682863.0921533227,27142.268842950332
2022-01-20 00:00:00 UTC,0.15659687477446715,635493.382170916,11419.047563411292
2022-01-21 00:00:00 UTC,0.1708052757980974,693302.8962772809,20387.729994301622
2022-01-22 00:00:00 UTC,0.14747571959278394,598289.5448549389,25299.035647295696
2022-01-23 00:00:00 UTC,0.13307266742380708,538677.7117439444,14605.52165061587
2022-01-24 00:00:00 UTC,0.13344277433144774,541640.7803988168,364.18932663697467
2022-01-25 00:00:00 UTC,0.11264301452688669,457492.93304373516,68763.77179819687
2022-01-26 00:00:00 UTC,0.11825228374101084,480571.8940370587,12391.705819884546
2022-01-27 00:00:00 UTC,0.1105812439111987,448755.1159562007,8146.74140142583
2022-01-28 00:00:00 UTC,0.11765361596707465,477455.8524442858,11628.965759716835
2022-01-29 00:00:00 UTC,0.10821612603326979,427332.8646775751,10384.837168399057
2022-01-30 00:00:00 UTC,0.10772386168422747,435787.99364295177,16520.004301256777
2022-01-31 00:00:00 UTC,0.10047178560292112,407261.52901952266,7545.2524908104015
2022-02-01 00:00:00 UTC,0.09116920495648331,369617.1949078956,10864.028302419832
2022-02-02 00:00:00 UTC,0.09722677331730883,394673.7744751983,10315.512396746371
2022-02-03 00:00:00 UTC,0.09135044472889632,371205.57345663663,8811.621831289238
2022-02-04 00:00:00 UTC,0.09133169248383177,371712.87182040716,362.76948254577985
2022-02-05 00:00:00 UTC,0.09348571637875143,381004.1859169376,3718.674826113974
2022-02-06 00:00:00 UTC,0.0942093640363112,382134.89688699006,8498.923489212346
2022-02-07 00:00:00 UTC,0.09480615141278663,385268.8710798467,10570.227927834905
2022-02-08 00:00:00 UTC,0.09095605186590691,369397.09288984956,8558.009442037248
2022-02-09 00:00:00 UTC,0.08938579578284886,363121.6297973143,5749.605684289476
2022-02-10 00:00:00 UTC,0.08937758771932366,362568.61321214924,198.5969999123371
2022-02-11 00:00:00 UTC,0.08937093560698581,361348.74927089567,332.63862232920116
2022-02-12 00:00:00 UTC,0.08767481188263707,356025.12021005974,11164.64340315847
2022-02-13 00:00:00 UTC,0.08552895186173863,345202.4202017628,2970.8712617873907
2022-02-14 00:00:00 UTC,0.08422638199356779,342480.14768262557,1366.4824346974656
2022-02-15 00:00:00 UTC,0.08046686072156504,326699.38671069255,18274.435656147918
2022-02-16 00:00:00 UTC,0.07939383063551674,322946.75683315075,70110.9537186367
2022-02-17 00:00:00 UTC,0.07707393373856349,312868.1396434644,3252.956073823074
2022-02-18 00:00:00 UTC,0.07599551161414718,296454.51213551225,4556.820068754008
2022-02-19 00:00:00 UTC,0.07987390780862579,324068.10974781564,55285.5653710693
2022-02-20 00:00:00 UTC,0.07122867748357244,311578.92601501814,4029.038745269878
2022-02-21 00:00:00 UTC,0.07275114185100473,295369.85179799673,5074.623334096515
2022-02-22 00:00:00 UTC,0.0725193984592654,294640.0974034885,368.919876611223
2022-02-23 00:00:00 UTC,0.0712070568179922,289384.7459808522,1487.4384735568988
2022-02-24 00:00:00 UTC,0.07601913007361583,308763.52026919194,8627.432335195785
2022-02-25 00:00:00 UTC,0.06598617568788086,267846.2759503997,14277.962561887392
2022-02-26 00:00:00 UTC,0.07071419838771392,286965.3162953685,7348.304892908726
2022-02-27 00:00:00 UTC,0.07399061420532345,299402.0637580449,16865.287504253232
2022-02-28 00:00:00 UTC,0.0723473570693152,293207.2262311325,2493.740876216451
2022-03-01 00:00:00 UTC,0.06875109369739642,278851.26812637167,20912.603319479935
2022-03-02 00:00:00 UTC,0.0655281628323034,265850.740854598,5380.478369689438
2022-03-03 00:00:00 UTC,0.06109596547424802,247736.5240443889,7962.607238373094
2022-03-04 00:00:00 UTC,0.060992711158324886,247776.9533767689,1793.8501886404651
2022-03-05 00:00:00 UTC,0.05893651850004374,239260.31425736428,3399.232531130794
2022-03-06 00:00:00 UTC,0.05546306638357756,224669.73691634918,10302.104042419473
2022-03-07 00:00:00 UTC,0.05646630704651741,228929.6317844169,2138.465438956446
2022-03-08 00:00:00 UTC,0.05049678517783656,204877.83095682724,8920.004902249997
2022-03-09 00:00:00 UTC,0.047781360971873375,194221.07031678173,4455.528102035287
2022-03-10 00:00:00 UTC,0.04764412224802812,193189.00387588833,5731.801204865012
2022-03-11 00:00:00 UTC,0.047031045614879696,190993.62544042632,747.8407488230652
2022-03-12 00:00:00 UTC,0.04882915556685521,198443.69382021364,3983.190259187972
2022-03-13 00:00:00 UTC,0.04826214440272037,195878.1703241611,1075.5282489895078
